"sector","Shelduck","Oystercatcher","Grey.Plover","Avocet","Dunlin","Redshank","BTGodwit","Curlew","AlgaeCover","Abratenn","Amphsqua","Anaimuco","Aphemari","Apselatr","Arenmari","Capicapi","Caulzetl","Ceraedul","Chaechri","Chironmd","Coroaren","Corovolu","Cyatcari","Desdorna","Elmimode","Eteolong","Hedidive","Hydrulva","Macobalt","Melipalm","Melipalm.1","Micrgrll","Micrmacu","Myaaren","Neanvire","Nephhomb","Notolate","Ostrsp","Polycorn","Pygoeleg","Retuobtu","Rudiphil","Scolarmi","Scroplan","Streshru","Tubibene","Tubipseu","Tubisp","Urotbrev"
"DP001",0,72,0,0,40,6,1,15,1,0,0,67.6666666666667,0,0,42.3333333333333,0,0,17,0,0,0,0,0,0,0,25.3333333333333,102,0,0,0,0,0,0,0,0,8.33333333333333,110.333333333333,0,0,0,0,0,959,0,0,730,68,0,942
"DP004",39,165,1,0,40,12,0,11,16.25,6.25,273.75,31.75,1196.75,337.5,0,649.25,165.5,31.75,458.25,0,0,6.25,292.5,6.25,324.75,0,693.75,82.75,6.25,0,216.25,0,0,25.25,6.25,6.25,89,0,6.25,146.5,0,12.75,12.75,12.75,165.5,261,1667.75,1177.75,0
"DP007",0,0,0,0,0,0,0,0,38.3333333333333,93.3333333333333,0,0,101.666666666667,0,0,34,0,25.3333333333333,0,0,0,59.3333333333333,0,0,0,8.33333333333333,144,161.333333333333,0,0,8.33333333333333,0,34,8.33333333333333,0,135.666666666667,0,0,0,0,0,8.33333333333333,0,0,0,93.3333333333333,220.666666666667,102,0
"DP008",0,0,0,0,0,0,0,0,7.5,63.5,0,0,204,0,0,2712,0,12.5,12.5,242,0,2801,0,25.5,0,51,305.5,1782.5,0,0,0,0,191,0,0,0,0,216.5,0,12.5,0,12.5,0,0,0,4876.5,0,229,0
"DP009",68,50,17,0,26,29,0,37,0,127,0,25,25,0,0,0,0,0,0,0,0,0,51,0,0,25,509,586,0,0,0,0,51,0,25,0,0,0,0,0,204,0,0,0,357,306,0,0,0
"DP010",8,7,0,13,32,113,197,42,0,51,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,102,968,1146,25,0,0,0,0,0,0,25,0,0,0,0,0,102,0,0,0,25,0,0,0
"DP011",99,45,0,0,0,43,74,64,2.5,114.5,0,0,76.5,0,0,127,0,25.5,0,0,0,25.5,0,0,0,0,38,76,12.5,12.5,0,0,12.5,0,0,127.5,0,25,0,12.5,0,0,0,0,12.5,1922.5,25.5,305.5,0
"DP012",1,19,1,0,0,0,0,2,0,0,0,0,306,0,0,0,0,51,0,0,0,0,0,0,0,25,0,382,51,0,0,0,0,76,0,153,0,0,0,0,0,0,0,25,0,229,0,102,0
"DP013",0,0,0,0,0,0,0,0,0,394.5,0,0,12.5,0,0,0,38,12.5,0,0,0,0,0,0,0,0,12.5,675,0,0,0,0,0,25.5,0,102,0,127.5,25.5,25.5,114.5,0,89,12.5,0,0,0,25.5,0
"DP014",2,68,0,0,0,5,0,18,0,12.5,0,12.5,1744.5,12.5,0,0,0,76,0,0,0,0,12.5,0,0,25.5,204,0,0,25.5,0,0,0,63.5,63.5,76.5,0,12.5,0,0,0,0,0,0,12.5,89,63.5,547.5,0
"DP015",5,127,0,0,3,0,18,160,22.2,101.8,0,0,300.6,0,229.2,0,0,20.2,0,0,0,10.2,0,10,0,5,1197,743.4,25.2,0,106.8,0,0,20.2,10,30.4,0,15.2,15.2,0,0,35.4,0,30.6,25.4,25.4,45.8,5,0
"DP016",56,17,0,9,98,78,79,22,0,102,0,0,95.25,0,0,6.25,0,0,0,0,0,0,108.25,0,0,0,394.5,776.5,12.5,0,0,0,0,19,0,38,0,120.75,0,0,6.25,0,0,19,0,6.25,6.25,38.25,0
"DP017",150,54,2,0,485,0,421,200,0.6,10.2,0,0,3539.6,0,0,0,0,15.2,0,0,5,616.2,193.4,5,0,76.4,1247.8,91.4,10.2,0,0,0,0,35.6,0,0,0,20.2,55.8,5,0,5,0,35.6,30.6,270,1054.2,0,0
"DP018",265,284,0,0,1638,34,381,945,2,4.16666666666667,0,0,424.333333333333,0,0,0,0,25.3333333333333,0,0,0,314,34,0,814.833333333333,25.3333333333333,1128.83333333333,241.833333333333,12.5,0,17,0,4.16666666666667,72.1666666666667,8.33333333333333,16.6666666666667,0,80.5,16.8333333333333,0,0,46.6666666666667,0,16.8333333333333,4.16666666666667,191,89.1666666666667,16.8333333333333,0
"DP019",0,0,0,0,0,0,0,0,0.2,5,0,0,91.6,0,0,0,0,0,0,0,173.2,1553.2,453.4,152.6,0,96.8,988,193.6,5,5,0,0,0,0,0,56,0,152.8,45.6,0,0,0,0,96.8,137.2,35.6,1176.2,0,0
"DP020",3,12,0,0,0,1,0,3,2.2,0,0,0,504.2,0,15.2,96.8,0,30.4,0,0,0,5,0,0,0,30.6,142.6,51,0,10.2,5,0,0,20.4,0,40.6,0,0,15.2,56,0,0,30.6,0,10,2042,2001.4,1069.6,0
"DP021",0,4,0,0,0,0,0,2,41.4285714285714,152.714285714286,0,94.5714285714286,130.857142857143,0,0,72.7142857142857,0,25.2857142857143,0,523.857142857143,0,1622.42857142857,0,0,0,0,18,2339.14285714286,3.57142857142857,14.5714285714286,3.57142857142857,545.714285714286,0,14.5714285714286,0,145.428571428571,14.5714285714286,0,0,0,14.5714285714286,14.5714285714286,18.1428571428571,0,18.1428571428571,2099,407.285714285714,505.571428571429,0
"DP022",0,0,0,0,0,0,0,0,70,0,0,25.5,12.5,0,0,0,0,12.5,0,0,0,0,0,0,0,0,152.5,12.5,0,12.5,0,0,0,0,0,343.5,0,0,0,0,0,0,0,12.5,0,0,675,0,0
"DP023",0,0,0,0,0,0,0,0,50,0,0,0,76,0,0,25,0,0,0,0,0,0,0,0,0,0,153,0,0,0,0,0,0,0,0,306,0,0,0,0,0,0,0,0,0,153,1986,0,0
"DP024",0,0,0,0,0,0,0,0,50,25,0,0,153,0,0,0,0,0,0,0,0,0,0,0,0,25,76,127,0,25,0,0,0,0,0,127,0,0,0,0,0,0,0,0,0,560,25,917,0
"DP026",0,0,0,0,0,0,0,0,90,917,0,229,255,0,0,0,0,0,0,0,0,0,0,25,0,0,153,229,0,0,76,0,229,51,25,127,0,0,0,0,0,0,0,25,0,0,102,25,0
"DP027",8,42,4,4,5,16,0,0,1,0,0,51,255,0,0,51,0,25,0,0,0,0,0,0,0,51,866,0,0,153,0,0,51,76,25,51,0,0,25,0,0,0,229,0,0,0,2165,0,0
"DP028",110,79,36,0,308,22,1,86,20,10.8571428571429,3.57142857142857,10.7142857142857,291,0,3.57142857142857,105.428571428571,0,47,0,127.285714285714,0,0,3.57142857142857,3.57142857142857,0,25.2857142857143,258.428571428571,214.571428571429,7.28571428571429,10.8571428571429,3.57142857142857,0,21.7142857142857,72.5714285714286,43.5714285714286,163.714285714286,0,7.14285714285714,3.57142857142857,0,7.28571428571429,10.8571428571429,0,87.2857142857143,0,305.571428571429,403.714285714286,127.285714285714,0
"DP029",58,43,2,238,463,41,9,173,1,925,0,0,280,0,0,0,0,25.3333333333333,0,0,0,17,178,0,0,25.3333333333333,3794.33333333333,441.333333333333,25.3333333333333,0,0,0,0,51,0,25.3333333333333,0,339.333333333333,0,0,42.3333333333333,0,0,17,152.666666666667,42.3333333333333,17,101.666666666667,0
"DP030",127,76,1,0,88,18,108,71,17.5,25.5,0,0,1311.5,0,0,25.5,0,76,0,0,0,12.5,0,0,0,0,165.5,89,25,114.5,0,0,63.5,38,12.5,114.5,0,38,0,0,0,12.5,0,0,25.5,1820.5,0,356.5,0
"DP031",16,62,3,232,222,62,10,76,0.333333333333333,0,0,0,348,0,0,50.6666666666667,0,17,0,0,0,271.666666666667,271.666666666667,8.33333333333333,0,16.6666666666667,661.666666666667,25.3333333333333,8.33333333333333,33.6666666666667,0,0,0,17,0,0,0,8.33333333333333,8.33333333333333,0,0,34,0,42.3333333333333,25.3333333333333,152.666666666667,16.6666666666667,0,0
"DP032",8,17,0,29,0,8,3,15,0,0,0,0,0,0,0,0,0,0,0,0,0,5220,0,0,0,0,1910,968,0,0,0,0,0,0,0,0,0,5781,0,0,0,0,0,0,0,0,0,0,0
