"AlgaeCover","HedisteDensity","HedisteBiomass","CerastodermaDensity","CerastodermaBiomass","Shelduck","Oystercatcher","Grey_Plover","Avocet","Dunlin","Redshank","Blacktailed_Godwit","Curlew"
1,101.8592,0.4402714042,16.9765333333,0.9685965262,0,72,0,0,40,6,1,15
16.25,693.9158,1.3392908602,31.831,6.4214606718,39,165,1,0,40,12,0,11
38.3333333333,144.3005333333,0.3974336701,25.4648,4.8402020731,0,0,0,0,0,0,0,0
7.5,305.5776,2.502656045,12.7324,0.8842020053,0,0,0,0,0,0,0,0
0,509.296,0.2491864609,25.4648,2.1492817326,68,50,17,0,26,29,0,37
0,967.6624,5.1729997773,50.9296,5.4134433417,8,7,0,13,32,113,197,42
2.5,38.1972,0.0096438059,25.4648,3.9085852368,99,45,0,0,0,43,74,64
0,0,0,50.9296,0.0008852192,1,19,1,0,0,0,0,2
0,12.7324,0.0089444777,12.7324,"4.4474e-05",0,0,0,0,0,0,0,0
0,203.7184,1.2358264112,76.3944,5.3135241803,2,68,0,0,0,5,0,18
22.2,1196.8456,9.9209042756,56.02256,2.9170029596,5,127,0,0,3,0,18,160
0,394.7044,1.8004893762,0,0.0002213048,56,17,0,9,98,78,79,22
0.6,1247.7752,4.8985124565,20.37184,0.0019567902,150,54,2,0,485,0,421,200
2,1128.9394666667,6.4432486271,25.4648,0.9505428094,265,284,0,0,1638,34,381,945
0.2,988.03424,7.3115826052,0,0,0,0,0,0,0,0,0,0
2.2,142.60288,0.5247364827,30.55776,0.0511445849,3,12,0,0,0,1,0,3
41.4285714286,18.1891428571,0.1365734158,29.1026285714,2.0626466166,0,4,0,0,0,0,0,2
70,152.7888,2.7456768893,12.7324,5.8437544216,0,0,0,0,0,0,0,0
50,152.7888,1.0261801946,0,0,0,0,0,0,0,0,0,0
50,76.3944,0.1328703192,0,0,0,0,0,0,0,0,0,0
90,152.7888,0.120409933,0,0,0,0,0,0,0,0,0,0
1,865.8032,0.9919371228,50.9296,4.3637628685,8,42,4,4,5,16,0,0
20,258.2858285714,1.4195723891,61.8430857143,4.8334881451,110,79,36,0,308,22,1,86
1,3794.2552,7.1717434046,25.4648,0.0006494448,58,43,2,238,463,41,9,173
17.5,165.5212,0.4823970662,76.3944,21.3744388268,127,76,1,0,88,18,108,71
0.3333333333,662.0848,2.8800608326,33.9530666667,3.1519590738,16,62,3,232,222,62,10,76
0,1909.86,8.9630138831,0,0,8,17,0,29,0,8,3,15
