"Site","Sediment1","Sediment2","Algae","Density","Presence"
1,1,1,1,5,1
2,1,1,0,6,1
3,1,1,0,13,1
4,1,1,0,9,1
5,1,1,0,3,1
6,1,1,0,5,1
7,1,1,0,6,1
8,1,1,2,9,1
9,1,1,0,6,1
10,1,1,0,7,1
11,1,1,2,21,1
12,1,1,0,1,1
13,1,1,10,16,1
14,1,1,1,0,0
15,1,1,90,24,1
16,1,1,1,1,1
17,1,1,0,20,1
18,1,1,0,2,1
19,1,1,20,3,1
20,0,0,0,9,1
21,1,1,0,3,1
22,1,1,0,1,1
23,1,1,0,12,1
24,1,1,0,0,0
25,1,1,0,1,1
26,1,1,0,0,0
27,1,1,0,8,1
28,1,1,0,4,1
29,1,1,0,0,0
30,1,1,2,23,1
31,1,1,0,1,1
32,1,1,5,0,0
33,0,0,0,0,0
34,1,1,0,0,0
35,1,1,0,47,1
36,1,1,1,29,1
37,0,0,0,9,1
38,0,0,1,7,1
39,1,0,30,3,1
40,0,0,10,0,0
41,0,0,1,2,1
42,1,1,5,0,0
43,1,1,80,0,0
44,1,1,0,2,1
45,1,1,5,6,1
46,1,1,0,1,1
47,1,1,0,9,1
48,1,1,15,0,0
49,1,1,80,0,0
50,1,1,35,2,1
51,1,1,10,0,0
52,0,0,90,0,0
53,1,1,90,6,1
54,0,0,30,1,1
55,1,1,0,0,0
56,1,1,0,0,0
57,1,1,5,0,0
58,1,1,0,3,1
59,1,1,50,0,0
60,1,0,50,0,0
61,1,0,50,0,0
62,1,1,40,0,0
63,1,1,70,0,0
64,1,0,50,0,0
65,0,0,0,1,1
66,1,0,95,0,0
67,1,1,20,0,0
68,0,0,5,0,0
69,1,0,0,0,0
70,0,0,0,0,0
71,0,0,35,0,0
72,0,0,10,0,0
73,0,0,30,7,1
74,1,1,10,10,1
75,0,0,0,15,1
76,0,0,1,3,1
77,1,0,0,0,0
78,0,0,1,0,0
79,0,0,0,4,1
80,0,0,2,0,0
