"Site","Sediment1","Sediment2","Algae","Density","Biomass","Presence"
1,1,1,1,636.62,5.3119503956,1
2,1,1,0,763.944,7.4878716538,1
3,1,1,0,1655.212,13.4275604148,1
4,1,1,0,1145.916,12.6310072235,1
5,1,1,0,381.972,0.0601597999,1
6,1,1,0,636.62,6.2061658791,1
7,1,1,0,763.944,0.8323618858,1
8,1,1,2,1145.916,12.7769785153,1
9,1,1,0,763.944,7.8697472404,1
10,1,1,0,891.268,1.2223527564,1
11,1,1,2,2673.804,2.0531070609,1
12,1,1,0,127.324,0.0073804221,1
13,1,1,10,2037.184,14.8229444152,1
14,1,1,1,0,0,0
15,1,1,90,3055.776,33.8849815155,1
16,1,1,1,127.324,3.2657560985,1
17,1,1,0,2546.48,13.0648769869,1
18,1,1,0,254.648,0.1228444729,1
19,1,1,20,381.972,6.5929344335,1
20,0,0,0,1145.916,8.1636770239,1
21,1,1,0,381.972,0.6451365037,1
22,1,1,0,127.324,2.4554596612,1
23,1,1,0,1527.888,7.4025841284,1
24,1,1,0,0,0,0
25,1,1,0,127.324,0.0614222364,1
26,1,1,0,0,0,0
27,1,1,0,1018.592,3.6908298027,1
28,1,1,0,509.296,5.9945586143,1
29,1,1,0,0,0,0
30,1,1,2,2928.452,9.1095013858,1
31,1,1,0,127.324,0.0614222364,1
32,1,1,5,0,0,0
33,0,0,0,0,0,0
34,1,1,0,0,0,0
35,1,1,0,5984.228,5.4699057671,1
36,1,1,1,3692.396,5.4132055555,1
37,0,0,0,1145.916,2.8521775988,1
38,0,0,1,891.268,2.3483537611,1
39,1,0,30,381.972,4.492058202,1
40,0,0,10,0,0,0
41,0,0,1,254.648,1.0445840617,1
42,1,1,5,0,0,0
43,1,1,80,0,0,0
44,1,1,0,254.648,0.2440125973,1
45,1,1,5,763.944,6.157663042,1
46,1,1,0,127.324,0.0200532666,1
47,1,1,0,1145.916,9.8954361415,1
48,1,1,15,0,0,0
49,1,1,80,0,0,0
50,1,1,35,254.648,0.9236080878,1
51,1,1,10,0,0,0
52,0,0,90,0,0,0
53,1,1,90,763.944,17.564858863,1
54,0,0,30,127.324,2.7432988372,1
55,1,1,0,0,0,0
56,1,1,0,0,0,0
57,1,1,5,0,0,0
58,1,1,0,381.972,4.5755750624,1
59,1,1,50,0,0,0
60,1,0,50,0,0,0
61,1,0,50,0,0,0
62,1,1,40,0,0,0
63,1,1,70,0,0,0
64,1,0,50,0,0,0
65,0,0,0,127.324,6.9026490996,1
66,1,0,95,0,0,0
67,1,1,20,0,0,0
68,0,0,5,0,0,0
69,1,0,0,0,0,0
70,0,0,0,0,0,0
71,0,0,35,0,0,0
72,0,0,10,0,0,0
73,0,0,30,891.268,1.1379855056,1
74,1,1,10,1273.24,4.9643750919,1
75,0,0,0,1909.86,4.5199146825,1
76,0,0,1,381.972,0.1420595653,1
77,1,0,0,0,0,0
78,0,0,1,0,0,0
79,0,0,0,509.296,2.3641463894,1
80,0,0,2,0,0,0
